posY,accX,accY,velX,velY
305.641501,-1.082427,-2.707125,0.772377,1.796867
310.113061,1.080117,2.674694,1.852494,4.471561
311.838358,-1.118735,-2.746264,0.733759,1.725297
316.281646,1.104707,2.717991,1.838466,4.443288
317.937826,-1.141377,-2.787108,0.697089,1.65618
322.356576,1.135101,2.76257,1.832189,4.41875
323.934163,-1.163998,-2.841163,0.668191,1.577587
328.325194,1.145793,2.813444,1.813984,4.391031
329.824166,-1.170701,-2.892058,0.643283,1.498973
334.200844,1.15826,2.877705,1.801542,4.376677
335.619751,-1.186668,-2.957769,0.614875,1.418908
339.969395,1.176833,2.930736,1.791708,4.349643
341.324616,-1.203206,-2.994423,0.588502,1.355221
345.634638,1.188312,2.954801,1.776814,4.310022
346.920759,-1.213164,-3.023901,0.56365,1.286121
351.223465,1.199898,3.016584,1.763548,4.302706
352.440399,-1.239079,-3.085772,0.524469,1.216934
356.709171,1.245671,3.051838,1.77014,4.268772
357.861643,-1.282552,-3.116299,0.487588,1.152472
362.102957,1.277551,3.088842,1.765139,4.241314
363.190549,-1.299152,-3.153722,0.465987,1.087592
367.422967,1.284058,3.144826,1.750046,4.232418
368.430864,-1.332905,-3.224521,0.417141,1.007897
372.65525,1.347048,3.216489,1.764188,4.224386
373.582774,-1.384391,-3.296862,0.379797,0.927523
377.793816,1.387402,3.283519,1.7672,4.211043
378.648171,-1.425626,-3.356688,0.341574,0.854355
382.838117,1.429133,3.335591,1.770707,4.189946
383.627392,-1.466916,-3.400671,0.303791,0.789275
387.808133,1.470461,3.391466,1.774251,4.180741
388.52896,-1.503949,-3.459914,0.270302,0.720827
392.691333,1.500866,3.441546,1.771169,4.162373
393.368011,-1.661834,-3.485695,0.109334,0.676678
397.392781,1.67719,3.348092,1.786524,4.02477
398.045023,-1.518154,-3.372528,0.26837,0.652242
398.045023,-1.518154,-3.372528,0.26837,0.652242
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
398.045023,0,0,0,0
